date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:28	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:28%20GMT	https://almasahotel-alsokhna.com/386	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/386.15.delayed	(from https://almasahotel-alsokhna.com/)
12:51:29	1778230/1778230	---M--	200	added ('OK')	video/webm	etag:%2265661d54-1b2236%22	https://almasahotel-alsokhna.com/uploads/Untitled_8c5dd20afe2a5c6b04c11c06722cbed5.webm	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/uploads/Untitled_8c5dd20afe2a5c6b04c11c06722cbed5.webm	(from https://almasahotel-alsokhna.com/)
12:51:29	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:29%20GMT	https://almasahotel-alsokhna.com/news-1.html	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/news-1.html	(from https://almasahotel-alsokhna.com/)
12:51:29	24619/24619	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2009:51:29%20GMT	https://almasahotel-alsokhna.com/ar	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/ar.html	(from https://almasahotel-alsokhna.com/)
12:51:30	5522/5522	---M--	200	added ('OK')	application/javascript	etag:%2265658842-1592%22	https://almasahotel-alsokhna.com/sokhna/js/common_functions.js	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/js/common_functions.js	(from https://almasahotel-alsokhna.com/)
12:51:30	536152/536152	---M--	200	added ('OK')	application/javascript	etag:%2265658842-82e58%22	https://almasahotel-alsokhna.com/sokhna/js/common_scripts.js	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/js/common_scripts.js	(from https://almasahotel-alsokhna.com/)
12:51:30	667/667	---M-Z	200	added ('OK')	application/javascript	etag:%2229b-60b3082611480-gzip%22	https://almasahotel-alsokhna.com/sokhna/js/datepicker_inline.js	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/js/datepicker_inline.js	(from https://almasahotel-alsokhna.com/)
12:51:31	949/949	---M-Z	200	added ('OK')	application/javascript	etag:%223b5-60b3082611480-gzip%22	https://almasahotel-alsokhna.com/sokhna/js/slider.js	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/js/slider.js	(from https://almasahotel-alsokhna.com/)
12:51:31	22541/22541	---M--	200	added ('OK')	application/javascript	etag:%2265658842-580d%22	https://almasahotel-alsokhna.com/sokhna/js/jquery.flexslider.min.js	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/js/jquery.flexslider.min.js	(from https://almasahotel-alsokhna.com/)
12:51:31	546/546	---M-Z	200	added ('OK')	application/javascript	etag:%22222-60b3082611480-gzip%22	https://almasahotel-alsokhna.com/sokhna/js/slider_func.js	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/js/slider_func.js	(from https://almasahotel-alsokhna.com/)
12:51:32	107656/107656	---M--	200	added ('OK')	font/woff2	etag:%2265658842-1a488%22	https://almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-brands-400.woff2	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-brands-400.woff2	(from https://almasahotel-alsokhna.com/sokhna/css/fontawesome/css/all.css)
12:51:32	25236/25236	---M--	200	added ('OK')	font/woff2	etag:%2265658842-6294%22	https://almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-regular-400.woff2	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-regular-400.woff2	(from https://almasahotel-alsokhna.com/sokhna/css/fontawesome/css/all.css)
12:51:33	62320/62320	---M--	200	added ('OK')	application/font-sfnt	etag:%2265658842-f370%22	https://almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-regular-400.ttf	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-regular-400.ttf	(from https://almasahotel-alsokhna.com/sokhna/css/fontawesome/css/all.css)
12:51:33	186124/186124	---M--	200	added ('OK')	application/font-sfnt	etag:%2265658842-2d70c%22	https://almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-brands-400.ttf	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-brands-400.ttf	(from https://almasahotel-alsokhna.com/sokhna/css/fontawesome/css/all.css)
